viewCount,likeCount,subscribers,totalViews,totalVideos,durationSecs,title length,Label
3824,120,494000,37774999,1506,434,51,1
3857,105,494000,37774999,1506,358,41,1
3806,91,494000,37774999,1506,244,51,1
15920,362,494000,37774999,1506,400,57,1
6049,185,494000,37774999,1506,284,51,1
4277,160,494000,37774999,1506,304,51,1
2078,36,494000,37774999,1506,123,53,1
3878,94,494000,37774999,1506,170,41,1
933247,17157,1050000,91987339,748,681,50,1
380520,6915,1050000,91987339,748,888,59,1
181469,4382,1050000,91987339,748,1026,59,1
119397,2813,1050000,91987339,748,823,67,1
93387,2160,1050000,91987339,748,775,62,1
60853,1722,1050000,91987339,748,825,82,1
61386,1794,1050000,91987339,748,669,62,1
58835,1600,1050000,91987339,748,441,60,1
44205,1398,1050000,91987339,748,861,80,1
46485,1755,1050000,91987339,748,605,67,1
40492,1127,1050000,91987339,748,827,67,1
55627,1338,1050000,91987339,748,754,70,1
1579,22,11400,901735,172,717,32,0
496,11,11400,901735,172,975,25,0
2055,49,11400,901735,172,1368,52,0
552,20,11400,901735,172,1174,51,0
682,19,11400,901735,172,686,34,0
18453,398,11400,901735,172,1362,79,0
467,25,11400,901735,172,1306,89,0
544,21,11400,901735,172,788,51,0
422,14,11400,901735,172,852,41,0
480,22,11400,901735,172,689,38,0
6315,126,11400,901735,172,1195,60,0
289,14,11400,901735,172,720,60,0
334,13,11400,901735,172,882,68,0
308,11,11400,901735,172,1202,52,0
4978,107,11400,901735,172,1207,52,0
355,13,11400,901735,172,931,44,0
142248,1880,172000,11666260,185,1318,88,1
44293,775,172000,11666260,185,1235,80,1
41456,728,172000,11666260,185,1029,82,0
5104,80,172000,11666260,185,450,87,0
45743,691,172000,11666260,185,1242,74,0
55076,837,172000,11666260,185,1065,73,1
33838,586,172000,11666260,185,1168,91,0
17531,240,172000,11666260,185,635,85,0
18150,332,172000,11666260,185,1844,85,0
11767,164,172000,11666260,185,799,76,0
19782,412,172000,11666260,185,1037,97,0
37549,669,172000,11666260,185,1768,81,0
17841,279,172000,11666260,185,1655,71,0
26288,418,172000,11666260,185,1333,83,0
10023,190,172000,11666260,185,1030,54,0
2195939,51870,6130000,410887617,1340,21129,55,1
2210830,56194,6130000,410887617,1340,44392,88,1
1444789,39210,6130000,410887617,1340,35783,68,1
2065737,44924,6130000,410887617,1340,15733,90,1
991591,24676,6130000,410887617,1340,11512,66,1
79747,2593,6130000,410887617,1340,8472,34,1
958915,19876,6130000,410887617,1340,46657,52,1
74581,1822,6130000,410887617,1340,5179,74,1
1739880,40935,6130000,410887617,1340,29704,60,1
2841114,47254,6130000,410887617,1340,7839,66,1
418281,13617,6130000,410887617,1340,6174,83,1
312826,6571,6130000,410887617,1340,5988,50,1
142479,2929,6130000,410887617,1340,20404,48,1
644263,9597,6130000,410887617,1340,1722,71,1
91158,1590,6130000,410887617,1340,17921,40,1
394265,7232,6130000,410887617,1340,4155,52,1
212426,6672,6130000,410887617,1340,2299,54,1
725757,14425,6130000,410887617,1340,14266,55,1
280365,1502,135000,21427061,1289,217,37,1
110105,366,135000,21427061,1289,200,29,1
67440,233,135000,21427061,1289,151,22,0
64268,209,135000,21427061,1289,150,26,0
53942,223,135000,21427061,1289,204,37,0
